loc	attr	value	value.def
LinearGradientElementGradientUnitsAttribute	gradientUnits	 "userSpaceOnUse | objectBoundingBox"	Defines the coordinate system for attributes 'x1', 'y1', 'x2' and 'y2'. If gradientUnits="userSpaceOnUse", 'x1', 'y1', 'x2' and 'y2' represent values in the coordinate system that results from taking the current user coordinate system in place at the time when the gradient element is referenced (i.e., the user coordinate system for the element referencing the gradient element via a 'fill' or 'stroke' property) and then applying the transform specified by attribute 'gradientTransform'. If gradientUnits="objectBoundingBox", the user coordinate system for attributes 'x1', 'y1', 'x2' and 'y2' is established using the bounding box of the element to which the gradient is applied (see Object bounding box units) and then applying the transform specified by attribute 'gradientTransform'. When gradientUnits="objectBoundingBox" and 'gradientTransform' is the identity matrix, the normal of the linear gradient is perpendicular to the gradient vector in object bounding box space (i.e., the abstract coordinate system where (0,0) is at the top/left of the object bounding box and (1,1) is at the bottom/right of the object bounding box). When the object's bounding box is not square, the gradient normal which is initially perpendicular to the gradient vector within object bounding box space may render non.perpendicular relative to the gradient vector in user space. If the gradient vector is parallel to one of the axes of the bounding box, the gradient normal will remain perpendicular. This transformation is due to application of the non.uniform scaling transformation from bounding box space to user space. If attribute 'gradientUnits' is not specified, then the effect is as if a value of 'objectBoundingBox' were specified.Animatable. yes.
LinearGradientElementGradientTransformAttribute	gradientTransform	<transform.list>	Contains the definition of an optional additional transformation from the gradient coordinate system onto the target coordinate system (i.e., userSpaceOnUse or objectBoundingBox). This allows for things such as skewing the gradient. This additional transformation matrix is post.multiplied to (i.e., inserted to the right of) any previously defined transformations, including the implicit transformation necessary to convert from object bounding box units to user space. If attribute 'gradientTransform' is not specified, then the effect is as if an identity transform were specified.Animatable. yes.
LinearGradientElementX1Attribute	x1	<coordinate>	'x1', 'y1', 'x2' and 'y2' define a gradient vector for the linear gradient. This gradient vector provides starting and ending points onto which the gradient stops are mapped. The values of 'x1', 'y1', 'x2' and 'y2' can be either numbers or percentages. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
LinearGradientElementY1Attribute	y1	<coordinate>	See 'x1'. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
LinearGradientElementX2Attribute	x2	<coordinate>	See 'x1'. If the attribute is not specified, the effect is as if a value of '100' were specified.Animatable. yes.
LinearGradientElementY2Attribute	y2	<coordinate>	See 'x1'. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
LinearGradientElementSpreadMethodAttribute	spreadMethod	 "pad | reflect | repeat"	Indicates what happens if the gradient starts or ends inside the bounds of the target rectangle. Possible values are. 'pad', which says to use the terminal colors of the gradient to fill the remainder of the target region, 'reflect', which says to reflect the gradient pattern start.to.end, end.to.start, start.to.end, etc. continuously until the target rectangle is filled, and repeat, which says to repeat the gradient pattern start.to.end, start.to.end, start.to.end, etc. continuously until the target region is filled. If the attribute is not specified, the effect is as if a value of 'pad' were specified.Animatable. yes.
LinearGradientElementHrefAttribute	xlink:href	<iri>	An IRI reference to a different 'linearGradient' or 'radialGradient' element within the current SVG document fragment. Any 'linearGradient' attributes which are defined on the referenced element which are not defined on this element are inherited by this element. If this element has no defined gradient stops, and the referenced element does (possibly due to its own 'xlink.href' attribute), then this element inherits the gradient stop from the referenced element. Inheritance can be indirect to an arbitrary level; thus, if the referenced element inherits attribute or gradient stops due to its own 'xlink.href' attribute, then the current element can inherit those attributes or gradient stops.Animatable. yes.
RadialGradientElementGradientUnitsAttribute	gradientUnits	 "userSpaceOnUse | objectBoundingBox"	Defines the coordinate system for attributes 'cx', 'cy', 'r', 'fx' and 'fy'. If gradientUnits="userSpaceOnUse", 'cx', 'cy', 'r', 'fx' and 'fy' represent values in the coordinate system that results from taking the current user coordinate system in place at the time when the gradient element is referenced (i.e., the user coordinate system for the element referencing the gradient element via a 'fill' or 'stroke' property) and then applying the transform specified by attribute 'gradientTransform'. If gradientUnits="objectBoundingBox", the user coordinate system for attributes 'cx', 'cy', 'r', 'fx' and 'fy' is established using the bounding box of the element to which the gradient is applied (see Object bounding box units) and then applying the transform specified by attribute 'gradientTransform'. When gradientUnits="objectBoundingBox" and 'gradientTransform' is the identity matrix, then the rings of the radial gradient are circular with respect to the object bounding box space (i.e., the abstract coordinate system where (0,0) is at the top/left of the object bounding box and (1,1) is at the bottom/right of the object bounding box). When the object's bounding box is not square, the rings that are conceptually circular within object bounding box space will render as elliptical due to application of the non.uniform scaling transformation from bounding box space to user space. If attribute 'gradientUnits' is not specified, then the effect is as if a value of 'objectBoundingBox' were specified.Animatable. yes.
RadialGradientElementGradientTransformAttribute	gradientTransform	<transform.list>	Contains the definitions of an optional additional transformation from the gradient coordinate system onto the target coordinate system (i.e., userSpaceOnUse or objectBoundingBox). This allows for things such as skewing the gradient. This additional transformation matrix is post.multiplied to (i.e., inserted to the right of) any previously defined transformations, including the implicit transformation necessary to convert from object bounding box units to user space. If attribute 'gradientTransform' is not specified, then the effect is as if an identity transform were specified.Animatable. yes.
RadialGradientElementCXAttribute	cx	<coordinate>	'cx', 'cy' and 'r' define the largest (i.e., outermost) circle for the radial gradient. The gradient will be drawn such that the 100 gradient stop is mapped to the perimeter of this largest (i.e., outermost) circle. If the attribute is not specified, the effect is as if a value of '50' were specified.Animatable. yes.
RadialGradientElementCYAttribute	cy	<coordinate>	See 'cx'. If the attribute is not specified, the effect is as if a value of '50' were specified.Animatable. yes.
RadialGradientElementRAttribute	r	<length>	See 'cx'. A negative value is an error (see Error processing). A value of zero will cause the area to be painted as a single color using the color and opacity of the last gradient stop. If the attribute is not specified, the effect is as if a value of '50' were specified.Animatable. yes.
RadialGradientElementFXAttribute	fx	<coordinate>	'fx' and 'fy' define the focal point for the radial gradient. The gradient will be drawn such that the 0 gradient stop is mapped to (fx, fy). If attribute 'fx' is not specified, 'fx' will coincide with the presentational value of 'cx' for the element whether the value for 'cx' was inherited or not. If the element references an element that specifies a value for 'fx', then the value of 'fx' is inherited from the referenced element.Animatable. yes.
RadialGradientElementFYAttribute	fy	<coordinate>	See 'fx'. If attribute 'fy' is not specified, 'fy' will coincide with the presentational value of 'cy' for the element whether the value for 'cy' was inherited or not. If the element references an element that specifies a value for 'fy', then the value of 'fy' is inherited from the referenced element.Animatable. yes.
RadialGradientElementSpreadMethodAttribute	spreadMethod	 "pad | reflect | repeat"	Indicates what happens if the gradient starts or ends inside the bounds of the object(s) being painted by the gradient. Has the same values and meanings as the 'spreadMethod' attribute on 'linearGradient' element.Animatable. yes.
RadialGradientElementHrefAttribute	xlink:href	<iri>	An IRI reference to a different 'linearGradient' or 'radialGradient' element within the current SVG document fragment. Any 'radialGradient' attributes which are defined on the referenced element which are not defined on this element are inherited by this element. If this element has no defined gradient stops, and the referenced element does (possibly due to its own 'xlink.href' attribute), then this element inherits the gradient stop from the referenced element. Inheritance can be indirect to an arbitrary level; thus, if the referenced element inherits attribute or gradient stops due to its own 'xlink.href' attribute, then the current element can inherit those attributes or gradient stops.Animatable. yes.
StopElementOffsetAttribute	offset	 "<number> | <percentage>"	The 'offset' attribute is either a <number> (usually ranging from 0 to 1) or a <percentage> (usually ranging from 0 to 100) which indicates where the gradient stop is placed. For linear gradients, the 'offset' attribute represents a location along the gradient vector. For radial gradients, it represents a percentage distance from (fx,fy) to the edge of the outermost/largest circle.Animatable. yes.
PatternElementPatternUnitsAttribute	patternUnits	 "userSpaceOnUse | objectBoundingBox"	Defines the coordinate system for attributes 'x', 'y', 'width' and 'height'. If patternUnits="userSpaceOnUse", 'x', 'y', 'width' and 'height' represent values in the coordinate system that results from taking the current user coordinate system in place at the time when the 'pattern' element is referenced (i.e., the user coordinate system for the element referencing the 'pattern' element via a 'fill' or 'stroke' property) and then applying the transform specified by attribute 'patternTransform'. If patternUnits="objectBoundingBox", the user coordinate system for attributes 'x', 'y', 'width' and 'height' is established using the bounding box of the element to which the pattern is applied (see Object bounding box units) and then applying the transform specified by attribute 'patternTransform'. If attribute 'patternUnits' is not specified, then the effect is as if a value of 'objectBoundingBox' were specified.Animatable. yes.
PatternElementPatternContentUnitsAttribute	patternContentUnits	 "userSpaceOnUse | objectBoundingBox"	Defines the coordinate system for the contents of the 'pattern'. Note that this attribute has no effect if attribute 'viewBox' is specified. If patternContentUnits="userSpaceOnUse", the user coordinate system for the contents of the 'pattern' element is the coordinate system that results from taking the current user coordinate system in place at the time when the 'pattern' element is referenced (i.e., the user coordinate system for the element referencing the 'pattern' element via a 'fill' or 'stroke' property) and then applying the transform specified by attribute 'patternTransform'. If patternContentUnits="objectBoundingBox", the user coordinate system for the contents of the 'pattern' element is established using the bounding box of the element to which the pattern is applied (see Object bounding box units) and then applying the transform specified by attribute 'patternTransform'. If attribute 'patternContentUnits' is not specified, then the effect is as if a value of 'userSpaceOnUse' were specified.Animatable. yes.
PatternElementPatternTransformAttribute	patternTransform	<transform.list>	Contains the definition of an optional additional transformation from the pattern coordinate system onto the target coordinate system (i.e., 'userSpaceOnUse' or 'objectBoundingBox'). This allows for things such as skewing the pattern tiles. This additional transformation matrix is post.multiplied to (i.e., inserted to the right of) any previously defined transformations, including the implicit transformation necessary to convert from object bounding box units to user space. If attribute 'patternTransform' is not specified, then the effect is as if an identity transform were specified.Animatable. yes.
PatternElementXAttribute	x	<coordinate>	'x', 'y', 'width' and 'height' indicate how the pattern tiles are placed and spaced. These attributes represent coordinates and values in the coordinate space specified by the combination of attributes 'patternUnits' and 'patternTransform'. If the attribute is not specified, the effect is as if a value of zero were specified.Animatable. yes.
PatternElementYAttribute	y	<coordinate>	See 'x'. If the attribute is not specified, the effect is as if a value of zero were specified.Animatable. yes.
PatternElementWidthAttribute	width	<length>	See 'x'. A negative value is an error (see Error processing). A value of zero disables rendering of the element (i.e., no paint is applied). If the attribute is not specified, the effect is as if a value of zero were specified.Animatable. yes.
PatternElementHeightAttribute	height	<length>	See 'x'. A negative value is an error (see Error processing). A value of zero disables rendering of the element (i.e., no paint is applied). If the attribute is not specified, the effect is as if a value of zero were specified.Animatable. yes.
PatternElementHrefAttribute	xlink:href	<iri>	An IRI reference to a different 'pattern' element within the current SVG document fragment. Any attributes which are defined on the referenced element which are not defined on this element are inherited by this element. If this element has no children, and the referenced element does (possibly due to its own 'xlink.href' attribute), then this element inherits the children from the referenced element. Inheritance can be indirect to an arbitrary level; thus, if the referenced element inherits attributes or children due to its own 'xlink.href' attribute, then the current element can inherit those attributes or children.Animatable. yes.
PatternElementPreserveAspectRatioAttribute	preserveAspectRatio	[defer] <align> [<meetOrSlice>]	 See 'preserveAspectRatio'. If the attribute is not specified, then the effect is as if a value of xMidYMid meet were specified. Animatable. yes. 
MarkerUnitsAttribute	markerUnits	strokeWidth | userSpaceOnUse	Defines the coordinate system for attributes 'markerWidth', 'markerHeight' and the contents of the 'marker'. If markerUnits="strokeWidth", 'markerWidth', 'markerHeight' and the contents of the 'marker' represent values in a coordinate system which has a single unit equal the size in user units of the current stroke width (see the 'stroke.width' property) in place for the graphic object referencing the marker. If markerUnits="userSpaceOnUse", 'markerWidth', 'markerHeight' and the contents of the 'marker' represent values in the current user coordinate system in place for the graphic object referencing the marker (i.e., the user coordinate system for the element referencing the 'marker' element via a 'marker', 'marker.start', 'marker.mid' or 'marker.end' property). If attribute 'markerUnits' is not specified, then the effect is as if a value of 'strokeWidth' were specified.Animatable. yes.
MarkerElementRefXAttribute	refX	<coordinate>	The x.axis coordinate of the reference point which is to be aligned exactly at the marker position. The coordinate is defined in the coordinate system after application of the 'viewBox' and 'preserveAspectRatio' attributes. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
MarkerElementRefYAttribute	refY	<coordinate>	The y.axis coordinate of the reference point which is to be aligned exactly at the marker position. The coordinate is defined in the coordinate system after application of the 'viewBox' and 'preserveAspectRatio' attributes. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
MarkerWidthAttribute	markerWidth	<length>	Represents the width of the viewport into which the marker is to be fitted when it is rendered. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of "3" were specified.Animatable. yes.
MarkerHeightAttribute	markerHeight	<length>	Represents the height of the viewport into which the marker is to be fitted when it is rendered. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of "3" were specified.Animatable. yes.
OrientAttribute	orient	auto | <angle>	 Indicates how the marker is rotated. A value of 'auto' indicates that the marker is oriented such that its positive x.axis is pointing as follows. If there is a path segment coming into the vertex and another path segment going out of the vertex, the marker's positive x.axis should point toward the angle bisector for the angle at the given vertex, where that angle has one side consisting of tangent vector for the path segment going into the vertex and the other side the tangent vector for the path segment going out of the vertex. Note. If the tangent vectors are the same, the angle bisector equals the two tangent vectors.If an incoming and an outgoing vertex produce a zero vector the direction of marker is undefined. If there is only a path segment going into the vertex (e.g., the last vertex on an open path), the marker's positive x.axis should point in the same direction as the tangent vector for the path segment going into the vertex. If there is only a path segment going out of the vertex (e.g., the first vertex on an open path), the marker's positive x.axis should point in the same direction as the tangent vector for the path segment going out of the vertex. (Refer to 'path' element implementation notes for a more thorough discussion of the directionality of path segments.) In all cases for closed subpaths (e.g., subpaths which end with a 'closepath' command), the orientation of the marker corresponding to the initial point of the subpath is calculated assuming that. the path segment going into the vertex is the path segment corresponding to the closepaththe path segment coming out of the vertex is the first path segment in the subpath When a 'closepath' command is followed by a command other than a 'moveto' command, then the orientation of the marker corresponding to the 'closepath' command is calculated assuming that. the path segment going into the vertex is the path segment corresponding to the closepaththe path segment coming out of the vertex is the first path segment of the subsequent subpath A <angle> value represents a particular orientation in the user space of the graphic object referencing the marker. For example, if a value of "0" is given, then the marker will be drawn such that its x.axis will align with the x.axis of the user space of the graphic object referencing the marker. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes (non.additive). 
DAttribute	d	 "path data"	The definition of the outline of a shape. See Path data.Animatable. yes. Path data animation is only possible when each path data specification within an animation specification has exactly the same list of path data commands as the 'd' attribute. If an animation is specified and the list of path data commands is not the same, then the animation specification is in error (see Error Processing). The animation engine interpolates each parameter to each path data command separately based on the attributes to the given animation element. Flags and booleans are interpolated as fractions between zero and one, with any non.zero value considered to be a value of one/true.
PathLengthAttribute	pathLength	 "<number>"	The author's computation of the total length of the path, in user units. This value is used to calibrate the user agent's own distance.along.a.path calculations with that of the author. The user agent will scale all distance.along.a.path computations by the ratio of 'pathLength' to the user agent's own computed value for total path length. 'pathLength' potentially affects calculations for text on a path, motion animation and various stroke operations. A negative value is an error (see Error processing).Animatable. yes.
ContentScriptTypeAttribute	contentScriptType	content.type	Identifies the default scripting language for the given SVG document fragment. This attribute sets the default scripting language used to process the value strings in event attributes. This language must be used for all instances of script that do not specify their own scripting language. The value content.type specifies a media type, per MIME Part Two. Media Types [RFC2046]. The default value is 'application/ecmascript' [RFC4329].Animatable. no.
ScriptElementTypeAttribute	type	content.type	Identifies the scripting language for the given 'script' element. The value content.type specifies a media type, per Multipurpose Internet Mail Extensions (MIME) Part Two [RFC2046]. If a 'type' is not provided, the value of 'contentScriptType' on the 'svg' element shall be used, which in turn defaults to "application/ecmascript" [RFC4329]. If a 'script' element falls outside of the outermost svg element and the 'type' is not provided, the 'type' must default to "application/ecmascript" [RFC4329].Animatable. no.
ScriptElementHrefAttribute	xlink:href	<iri>	An IRI reference to an external resource containing the script code.Animatable. no.
OnLoadEventAttribute	onload	<anything>	Specifies some script to execute when "bubbling" or "at target" phase listeners for the SVGLoad event are fired on the element the attribute is specified on.Animatable. no.
OnFocusInEventAttribute	onfocusin	<anything>	onfocusout = "<anything>"
OnFocusOutEventAttribute	onfocusout	<anything>	onactivate = "<anything>"
OnActivateEventAttribute	onactivate	<anything>	onclick = "<anything>"
OnClickEventAttribute	onclick	<anything>	onmousedown = "<anything>"
OnMouseDownEventAttribute	onmousedown	<anything>	onmouseup = "<anything>"
OnMouseUpEventAttribute	onmouseup	<anything>	onmouseover = "<anything>"
OnMouseOverEventAttribute	onmouseover	<anything>	onmousemove = "<anything>"
OnMouseMoveEventAttribute	onmousemove	<anything>	onmouseout = "<anything>"
OnMouseOutEventAttribute	onmouseout	<anything>	Specifies some script to execute when "bubbling" or "at target" phase listeners for the corresponding event are fired on the element the attribute is specified on. See the Complete list of support events to determine which event each of these event attributes corresponds to.Animatable. no.
OnUnloadEventAttribute	onunload	<anything>	onabort = "<anything>"
OnAbortEventAttribute	onabort	<anything>	onerror = "<anything>"
OnErrorEventAttribute	onerror	<anything>	onresize = "<anything>"
OnResizeEventAttribute	onresize	<anything>	onscroll = "<anything>"
OnScrollEventAttribute	onscroll	<anything>	onzoom = "<anything>"
OnZoomEventAttribute	onzoom	<anything>	Specifies some script to execute when "bubbling" or "at target" phase listeners for the corresponding event are fired on the element the attribute is specified on. See the Complete list of support events to determine which event each of these event attributes corresponds to.Animatable. no.
OnBeginEventAttribute	onbegin	<anything>	onend = "<anything>"
OnEndEventAttribute	onend	<anything>	onrepeat = "<anything>"
OnRepeatEventAttribute	onrepeat	<anything>	Specifies some script to execute when "bubbling" or "at target" phase listeners for the corresponding event are fired on the element the attribute is specified on. See the Complete list of support events to determine which event each of these event attributes corresponds to.Animatable. no.
CursorElementXAttribute	x	<coordinate>	The x.coordinate of the position in the cursor's coordinate system which represents the precise position that is being pointed to. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
CursorElementYAttribute	y	<coordinate>	The y.coordinate of the position in the cursor's coordinate system which represents the precise position that is being pointed to. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
CursorElementHrefAttribute	xlink:href	<funciri>	A Functional IRI reference to the file or element which provides the image of the cursor.Animatable. yes.
ColorProfileElementHrefAttribute	xlink:href	<iri>	The location of an ICC profile resource.Animatable. no.
ColorProfileElementLocalAttribute	local	<string>	The unique ID for a locally stored color profile. <string> is the profile's unique ID as specified by International Color Consortium. If both the 'xlink.href' and the 'local' attributes are specified, then the user agent shall search the local system for the locally stored color profile first, and, if not available locally, then attempt to use the resource identified by the 'xlink.href' attribute. (Note. Profile description fields do not represent a profile's unique ID. With current ICC proposals, the profile's unique ID is an MD5.encoded value within the profile header.)Animatable. no.
ColorProfileElementNameAttribute	name	<name>	The name which is used as the first parameter for icc.color specifications within 'fill', 'stroke', 'stop.color', 'flood.color' and 'lighting.color' property values to identify the color profile to use for the ICC color specification and the name which can be the value of the 'color.profile' property. Note that if <name> is not provided, it will be impossible to reference the given color profile description. The name "sRGB" is predefined; any color profile descriptions with <name> set to "sRGB" will be ignored. For consistency with CSS lexical scanning and parsing rules ([CSS2], section D.2), the keyword "sRGB" is case.insensitive; however, it is recommended that the mixed capitalization "sRGB" be used for consistency with common industry practice.Animatable. no.
ColorProfileElementRenderingIntentAttribute	rendering-intent	auto	This is the default behavior. The user agent determines the best intent based on the content type. For image content containing an embedded profile, it shall be assumed that the intent specified within the profile is the desired intent. Otherwise, the user agent shall use the current profile and force the intent, overriding any intent that might be stored in the profile itself.
ColorProfileElementRenderingIntentAttribute	rendering-intent	perceptual	This method, often the preferred choice for images, preserves the relationship between colors. It attempts to maintain relative color values among the pixels as they are mapped to the target device gamut. Sometimes pixel values that were originally within the target device gamut are changed in order to avoid hue shifts and discontinuities and to preserve as much as possible the overall appearance of the scene.
ColorProfileElementRenderingIntentAttribute	rendering-intent	saturation	Preserves the relative saturation (chroma) values of the original pixels. Out of gamut colors are converted to colors that have the same saturation but fall just inside the gamut.
ColorProfileElementRenderingIntentAttribute	rendering-intent	relative.colorimetric	Leaves colors that fall inside the gamut unchanged. This method usually converts out of gamut colors to colors that have the same lightness but fall just inside the gamut.
ColorProfileElementRenderingIntentAttribute	rendering-intent	absolute.colorimetric	Disables white point matching when converting colors. This option is generally not recommended.
SVGGlobalTransformAttributeDefinition	svg:transform	<transform>	 Specifies the affine transformation that has been applied to the map data. The syntax is identical to that described in The 'transform' attribute section. 
SVGGlobalTransformAttributeDefinition	svg:transform	none	 Specifies that no supplemental affine transformation has been applied to the map data. Using this value has the same meaning as specifying the identity matrix, which in turn is just the same as not specifying the 'svg.transform' the attribute at all. 
ViewBoxAttribute	viewBox	c(x,y,w,h)	x, y upper left hand corner; w,h width height 
ClassAttribute	class	character	character vector of class names
StyleAttribute	style	character	chararacter string providing an inline style description
SystemLanguageAttribute	systemLanguage	character	comma seperated list of language names
TransformAttribute	transform	ToDo!!!	ToDo!!!
PreserveAspectRatioAttribute	preserveAspectRatio	ToDo!!!	ToDo!!!
ZoomAndPanAttribute	zoomAndPan	disable	disable zooming
ZoomAndPanAttribute	zoomAndPan	magnify	enable zooming (only for outermost svg)
